Reduced Cell Formula,Working Ion,nZn_max,nAl_max,nMg_max,nK_max,nLi_max,n_alkaline_earth_metals,n_lanthanoids,n_metalloids,n_post_transition_metals,n_reactive_nonmetals,n_transition_metals,n_alkali_metals,n_actinoids,nBe,nSr,nBa,nCa,nPr,nHo,nCe,nTb,nGd,nLa,nLu,nNd,nSi,nGe,nTe,nSb,nAs,nSn,nBi,nGa,nO,nP,nS,nF,nI,nSe,nN,nH,nCl,nBr,nCu,nV,nFe,nTi,nCr,nMn,nNi,nCo,nW,nMo,nTa,nNb,nZr,nSc,nRe,nIr,nAg,nTc,nY,nNa,nLi,nRb,nCs,nU,Average Voltage,V_level_overall,Capacity Grav,C_grav_level_overall,Capacity Vol,C_vol_level_overall,Specific E Wh/kg,specific_e_level_overall,E Density Wh/l,e_density_level_overall,Working_Ion_Number,Working_Ion
ZnMn(Si2O5)2,Zn,1,,,,,0,0,4,0,10,1,0,0,,,,,,,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.97,Mid,137,Mid,438,Mid,269,Mid,863,Mid,1,Zn
ZnMn(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.76,Mid,148,Mid,695,Mid,261,Mid,1224,Mid,1,Zn
ZnHo(WO3)2,Zn,1,,,,,0,1,0,0,6,2,0,0,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,-0.16,Low,77,Mid,703,Mid,-12,Low,-109,Low,1,Zn
ZnHo(MoO3)2,Zn,1,,,,,0,1,0,0,6,2,0,0,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.63,Mid,103,Mid,729,Mid,65,Mid,457,Mid,1,Zn
ZnHo(BiO3)2,Zn,1,,,,,0,1,0,2,6,0,0,0,,,,,,1,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,Mid,72,Mid,581,Mid,117,Mid,945,Mid,1,Zn
ZnGe3(WO6)2,Zn,1,,,,,0,0,3,0,12,2,0,0,,,,,,,,,,,,,,3,,,,,,,12,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0.16,Low,165,Mid,1113,Mid,27,Mid,180,Mid,1,Zn
ZnGe3(MoO6)2,Zn,1,,,,,0,0,3,0,12,2,0,0,,,,,,,,,,,,,,3,,,,,,,12,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.86,Mid,202,Mid,1117,Mid,173,Mid,960,Mid,1,Zn
ZnFe4(CuO4)3,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,1.57,Mid,80,Mid,438,Mid,126,Mid,688,Mid,1,Zn
ZnFe3(SnS4)2,Zn,1,,,,,0,0,0,2,8,3,0,0,,,,,,,,,,,,,,,,,,2,,,,,8,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.55,Mid,74,Mid,342,Mid,40,Mid,188,Mid,1,Zn
ZnFe3(P2O7)2,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.72,Mid,92,Mid,352,Mid,67,Mid,254,Mid,1,Zn
ZnFe2(WO4)3,Zn,1,,,,,0,0,0,0,12,5,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,0.67,Mid,84,Mid,473,Mid,57,Mid,319,Mid,1,Zn
